Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
DISCA,Discovery Comm A,32.03,-0.19,-0.59%,32.23,31.77,3599600,01/03/20
DISCK,Discovery Comm Inc,30.01,-0.17,-0.56%,30.22,29.78,1900300,01/03/20
DISH,Dish Network Corp,35.88,0.15,+0.41%,35.95,35.28,1277500,01/03/20
DLR,Digital Realty Trust,119.94,1.94,+1.64%,120.18,117.08,869300,01/03/20
DLTR,Dollar Tree Inc,93.03,-0.75,-0.80%,93.58,92.5,2103400,01/03/20
DOV,Dover Corp,115.78,-1.09,-0.93%,115.92,114.63,587300,01/03/20
DOW,Dow Inc,52.42,-1.33,-2.47%,53.6,52.41,5004300,01/03/20
DRE,Duke Realty Corp,35,0.63,+1.83%,35.04,34.1,3005200,01/03/20
DRI,Darden Restaurants,112.38,0.12,+0.11%,112.51,110.88,1371300,01/03/20
DTE,Dte Energy Company,129.01,0.31,+0.24%,129.66,128.4,1163900,01/03/20
DUK,Duke Energy Corp,90.4,0.06,+0.07%,91.07,90.15,2825400,01/03/20
DVA,Davita Healthcare Partners Inc,75.08,-0.17,-0.23%,75.33,74.13,937700,01/03/20
DVN,Devon Energy Corp,26.1,0.31,+1.20%,26.53,25.92,6984100,01/03/20
DXC,Dxc Technology Company,35.23,-1.53,-4.16%,36.26,35.22,4046100,01/03/20
EA,Electronic Arts Inc,107.2,-0.14,-0.13%,107.75,105.12,1840400,01/03/20
EBAY,Ebay Inc,35.96,-0.34,-0.94%,36.1,35.78,3960800,01/03/20
ECL,Ecolab Inc,189.32,-0.91,-0.48%,191.54,187.36,1251000,01/03/20
ED,Consolidated Edison Company of New York,88.63,-0.23,-0.26%,89.23,88.46,1379600,01/03/20
EFX,Equifax Inc,142.87,0.48,+0.34%,143.05,140.19,710600,01/03/20
EIX,Edison International,74.78,0.4,+0.54%,74.87,74.13,1459300,01/03/20
EL,Estee Lauder Companies,204.7,-1.56,-0.76%,206.55,203.73,1076100,01/03/20
EMN,Eastman Chemical Company,75.95,-2.72,-3.46%,77.58,75.93,1461400,01/03/20
EMR,Emerson Electric Company,76.42,-1.06,-1.37%,76.51,75.56,2672600,01/03/20
