Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SBUX,Starbucks Corp,88.83,-0.52,-0.58%,89.1,88.1,4874900,01/03/20
SLB,Schlumberger N.V.,40.56,0.39,+0.97%,41.14,40,9755900,01/03/20
SO,Southern Company,62.56,-0.06,-0.10%,62.9,62.42,3531800,01/03/20
SPG,Simon Property Group,145.35,0.26,+0.18%,145.98,144,1308200,01/03/20
T,AT&T Inc,39.06,0.2,+0.51%,39.2,38.57,27416000,01/03/20
TGT,Target Corp,124.76,-1.31,-1.04%,125.53,123.93,5019800,01/03/20
TMO,Thermo Fisher Scientific Inc,322.82,-3.55,-1.09%,325.29,321.33,819500,01/03/20
TXN,Texas Instruments,127.85,-1.72,-1.33%,129.25,127.23,4057200,01/03/20
UNH,Unitedhealth Group Inc,289.54,-2.96,-1.01%,291.88,284.36,2712000,01/03/20
UNP,Union Pacific Corp,180.98,-1.29,-0.71%,181.19,178.29,2344100,01/03/20
UPS,United Parcel Service,116.72,-0.07,-0.06%,116.86,114.84,2477900,01/03/20
USB,U.S. Bancorp,58.51,-0.69,-1.17%,58.81,58.02,5161800,01/03/20
UTX,United Technologies Corp,153.35,0.21,+0.14%,154.65,150.51,3127600,01/03/20
V,Visa Inc,189.6,-1.52,-0.80%,190.96,187.92,4900800,01/03/20
VZ,Verizon Communications Inc,60.4,-0.65,-1.06%,60.79,60.07,13263500,01/03/20
WBA,Walgreens Boots Alliance,59.08,0,0.00%,59.35,58.18,4895800,01/03/20
WFC,Wells Fargo & Company,53.42,-0.33,-0.61%,53.62,52.9,15609600,01/03/20
WMT,Wal-Mart Stores,117.89,-1.05,-0.88%,118.79,117.59,5401100,01/03/20
XOM,Exxon Mobil Corp,70.33,-0.57,-0.80%,71.37,70.16,17390500,01/03/20
